,P_HIT_CN,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN
159,1,159,2020-08-14,HH,SS,0,B,33,30,1,1,4,1,0,0,0,0,0,0,2,0.0,1,8,1,1,10,0.2,5
160,4,160,2020-08-14,NC,LG,0,B,40,36,4,4,8,3,0,0,1,0,0,0,3,0.0,1,13,0,0,14,0.444444444,9
161,0,161,2020-08-14,OB,KT,0,B,53,45,3,3,10,0,0,2,2,0,0,0,8,2.0,0,9,1,1,25,0.0,11
162,5,162,2020-08-14,SK,HT,0,T,43,31,6,6,12,1,0,0,3,0,3,1,8,0.0,1,6,2,2,19,0.333333333,15
163,3,163,2020-08-14,HT,SK,0,B,40,31,6,7,7,2,0,1,0,0,0,0,8,0.0,1,3,0,0,16,0.375,8
164,2,164,2020-08-14,KT,OB,0,T,49,47,4,5,12,3,0,0,2,0,1,0,1,0.0,0,7,0,0,17,0.166666667,12
165,4,165,2020-08-14,LT,WO,0,T,38,31,5,5,11,2,0,0,0,0,2,1,5,1.0,0,6,0,0,22,0.307692308,13
166,7,166,2020-08-14,SS,HH,0,T,44,41,10,10,15,4,0,1,2,0,0,0,3,0.0,0,6,1,1,24,0.38888888899999996,18
167,1,167,2020-08-14,LG,NC,0,T,49,43,10,10,18,2,1,4,0,0,1,0,5,0.0,0,6,1,1,19,0.125,8
168,2,168,2020-08-15,KT,OB,0,T,41,34,4,5,7,2,1,1,1,0,0,0,6,0.0,1,8,0,0,25,0.125,16
169,0,169,2020-08-15,HH,SS,0,B,35,30,0,0,7,0,0,0,1,0,0,0,5,0.0,0,7,1,1,16,0.0,5
170,2,170,2020-08-15,SK,HT,0,T,36,33,3,3,9,2,0,0,0,0,0,0,3,0.0,0,1,2,2,14,0.28571428600000004,7
171,1,171,2020-08-15,NC,LG,0,B,38,34,4,4,10,0,0,2,0,0,1,1,2,0.0,1,13,1,1,16,0.14285714300000002,7
172,6,172,2020-08-15,HT,SK,0,B,44,41,10,10,17,2,1,1,0,0,0,0,3,0.0,0,5,0,0,21,0.46153846200000004,13
173,4,173,2020-08-15,Hero,LT,0,T,36,34,3,3,9,4,0,0,0,0,0,0,2,0.0,0,4,1,1,12,0.4,10
174,5,174,2020-08-15,OB,KT,0,B,41,38,7,7,13,1,0,1,3,0,0,0,3,0.0,0,3,1,1,22,0.333333333,15
175,6,175,2020-08-15,LG,NC,0,T,45,40,11,13,15,4,0,2,0,0,1,1,3,0.0,1,9,0,0,18,0.4,15
176,0,176,2020-08-15,LT,WO,0,B,36,35,1,1,7,0,0,0,0,0,0,0,1,0.0,0,6,1,1,21,0.0,6
177,0,177,2020-08-15,SS,HH,0,T,34,29,2,2,3,0,0,1,0,0,1,0,4,0.0,0,11,0,0,9,0.0,4
178,2,178,2020-08-16,LT,WO,0,B,36,30,3,3,6,1,0,0,3,0,1,1,4,0.0,1,5,3,3,12,0.25,8
179,3,179,2020-08-16,SK,HT,0,T,41,34,5,5,7,2,0,0,0,0,0,0,7,0.0,0,13,0,0,19,0.272727273,11
180,1,180,2020-08-16,OB,KT,0,B,35,28,1,1,3,1,0,0,1,0,0,0,6,0.0,1,6,2,2,13,0.111111111,9
181,0,181,2020-08-16,SS,HH,0,T,34,32,2,2,5,1,0,2,1,0,0,0,1,0.0,1,9,0,0,12,0.0,7
182,4,182,2020-08-16,NC,LG,0,B,37,34,5,5,9,5,0,0,0,0,0,0,2,0.0,1,6,2,2,12,0.4,10
183,2,183,2020-08-16,KT,OB,0,T,41,35,4,4,11,5,0,0,1,0,3,1,3,0.0,0,5,1,1,16,0.2,10
184,2,184,2020-08-16,LG,NC,0,T,41,32,6,6,7,0,0,2,0,0,1,0,8,0.0,0,3,1,1,18,0.25,8
185,3,185,2020-08-16,Hero,LT,0,T,41,35,5,6,9,5,0,1,1,0,1,1,2,0.0,3,4,0,0,15,0.23076923100000002,13
186,1,186,2020-08-16,HH,SS,0,B,31,26,3,3,2,1,0,0,0,0,0,0,4,0.0,1,4,1,1,9,0.25,4
187,6,187,2020-08-16,HT,SK,0,B,41,38,7,8,15,2,0,1,0,0,0,0,3,0.0,0,10,0,0,17,0.46153846200000004,13
188,0,188,2020-08-18,LT,OB,0,B,36,34,2,2,6,0,1,1,0,0,0,0,2,0.0,0,7,0,0,15,0.0,7
