,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,HIT,H2,H3,HR,SB,CS,BB,IB,KK,WP,BK,R,ER
89,20200813,KT,SK,0,B,0,L,0.0,27.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,10,9
90,20200814,LT,WO,0,B,0,W,2.0,27.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1,0
91,20200814,SS,HH,0,T,0,W,0.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1,1
92,20200814,KT,OB,0,T,0,W,2.0,36.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,3,3
93,20200814,LG,NC,0,T,0,W,0.0,27.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,4,4
94,20200814,HT,SK,0,B,0,W,0.0,27.0,12.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,6,6
95,20200814,OB,KT,0,B,0,L,0.0,36.0,12.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,5,4
96,20200814,WO,LT,0,T,0,L,0.0,24.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,5,5
97,20200814,SK,HT,0,T,0,L,2.0,24.299999999999997,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,7,7
98,20200814,HH,SS,0,B,0,L,0.0,27.0,15.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,10,10
99,20200814,NC,LG,0,B,0,L,0.0,27.0,18.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,10,10
100,20200815,SS,HH,0,T,0,W,0.0,27.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,1.0,0.0,0,0
101,20200815,WO,LT,0,T,0,W,1.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1,0
102,20200815,HT,SK,0,B,0,W,0.0,27.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3,3
103,20200815,OB,KT,0,B,0,W,1.0,27.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,5,4
104,20200815,LG,NC,0,T,0,W,0.0,27.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,4,4
105,20200815,HH,SS,0,B,0,L,0.0,27.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2,2
106,20200815,LT,WO,0,B,0,L,0.0,27.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3,3
107,20200815,KT,OB,0,T,0,L,2.0,24.599999999999998,13.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,7,4
108,20200815,SK,HT,0,T,0,L,0.0,24.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,10,10
109,20200815,NC,LG,0,B,0,L,0.0,27.0,15.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,13,13
110,20200816,KT,OB,0,T,0,W,2.0,27.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1,1
111,20200816,HH,SS,0,B,0,W,2.0,27.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,2,2
112,20200816,WO,LT,0,T,0,W,3.0,27.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,3,3
113,20200816,LG,NC,0,T,0,W,1.0,27.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,5,5
114,20200816,HT,SK,0,B,0,W,2.0,27.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,5,5
115,20200816,OB,KT,0,B,0,L,0.0,27.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4,2
116,20200816,NC,LG,0,B,0,L,0.0,27.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,6,3
117,20200816,SS,HH,0,T,0,L,0.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3,3
118,20200816,LT,WO,0,B,0,L,0.0,27.0,9.0,5.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,6,6
119,20200816,SK,HT,0,T,0,L,0.0,24.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,2.0,1.0,8,8
120,20200818,NC,WO,0,B,0,W,0.0,27.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1,1
