,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
113,113,2020-08-07,두산,롯데,0,B,38,35,4,4,11,1,0,0,2,0,2,2,1,0,0,2,1,1,12,0.285714286,7,2
114,114,2020-08-07,Hero,LG,0,B,38,32,2,2,6,2,0,0,0,0,1,1,4,0,1,8,0,0,21,0,9,0
115,115,2020-08-07,SK,삼성,0,B,34,32,0,0,4,1,0,0,0,0,0,0,2,0,0,7,0,0,16,0,8,0
116,116,2020-08-08,Hero,LG,0,B,35,32,5,5,9,1,0,1,1,0,0,0,3,0,0,7,1,1,14,0.25,8,2
117,117,2020-08-08,SK,삼성,0,B,22,19,2,4,3,2,1,0,0,0,0,0,2,0,1,0,0,0,11,0.142857143,7,1
118,118,2020-08-08,KIA,NC,0,B,28,28,3,3,4,1,0,1,0,0,0,0,0,0,0,9,0,0,1,0.5,2,1
119,119,2020-08-08,삼성,SK,0,T,19,17,2,2,5,1,0,1,0,0,1,1,1,0,0,1,0,0,6,0,1,0
120,120,2020-08-08,LG,키움,0,T,35,32,1,1,8,2,0,1,0,0,0,0,3,0,0,4,0,0,7,0.666666667,3,2
121,121,2020-08-08,NC,KIA,0,T,40,31,2,2,6,1,2,0,2,0,0,0,7,0,2,6,1,1,16,0.375,8,3
122,122,2020-08-08,롯데,두산,0,T,24,22,1,1,6,1,0,0,0,0,1,1,1,0,0,6,1,1,7,0,2,0
123,123,2020-08-08,두산,롯데,0,B,16,16,1,1,3,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,0,0
124,124,2020-08-09,NC,KIA,0,T,45,39,7,8,14,2,1,1,0,0,0,0,5,0,1,8,2,2,21,0.333333333,15,5
125,125,2020-08-09,KT,한화,0,T,42,37,6,6,12,5,0,1,0,0,0,0,5,0,0,9,1,1,22,0.25,12,3
126,126,2020-08-09,Hero,LG,0,B,34,28,1,2,7,0,0,0,2,0,2,0,3,0,1,6,2,2,19,0.1,10,1
127,127,2020-08-09,한화,KT,0,B,38,34,2,3,8,1,0,1,0,0,1,1,3,0,0,12,1,1,18,0.1,10,1
128,128,2020-08-09,LG,키움,0,T,31,30,1,1,4,2,0,1,0,0,0,0,1,0,0,8,1,1,7,0,4,0
129,129,2020-08-09,KIA,NC,0,B,41,32,1,1,4,0,0,0,0,0,0,0,9,0,0,7,0,0,28,0,9,0
130,130,2020-08-11,KT,SK,0,B,38,31,6,6,11,2,0,1,0,0,1,1,6,0,0,8,2,2,13,0.333333333,9,3
131,131,2020-08-11,KIA,LG,0,T,43,35,8,8,11,3,0,0,0,0,1,0,6,0,1,3,1,1,19,0.454545455,11,5
132,132,2020-08-11,두산,삼성,0,T,39,33,6,6,9,1,0,1,0,0,0,0,6,0,0,4,2,2,20,0.285714286,14,4
133,133,2020-08-11,한화,키움,0,T,55,44,7,7,10,1,0,1,0,0,3,1,6,1,2,10,0,0,27,0.214285714,14,3
134,134,2020-08-11,Hero,한화,0,B,56,45,5,5,12,1,0,1,2,0,3,1,7,0,1,13,0,0,29,0.307692308,13,4
135,135,2020-08-11,LG,KIA,0,B,37,36,4,4,9,2,0,1,0,0,0,0,1,0,0,11,0,0,15,0.333333333,9,3
136,136,2020-08-11,삼성,두산,0,B,36,34,1,1,8,0,0,1,0,0,0,0,2,0,0,5,1,1,17,0,4,0
137,137,2020-08-11,SK,SK,0,T,34,30,0,1,4,0,0,0,0,0,0,0,4,0,0,8,2,2,16,0,4,0
138,138,2020-08-12,두산,삼성,0,T,50,45,14,15,24,2,0,2,0,0,2,2,3,0,0,2,3,3,18,0.473684211,19,9
139,139,2020-08-12,롯데,NC,0,B,41,33,8,8,13,3,0,1,0,0,2,0,4,0,2,4,1,1,22,0.214285714,14,3
140,140,2020-08-12,LG,KIA,0,B,37,34,8,8,12,5,0,0,1,0,0,0,3,0,0,9,2,2,11,0.538461538,13,7
141,141,2020-08-12,SK,KT,0,T,46,36,11,11,12,3,0,1,1,0,0,0,9,0,1,5,1,1,21,0.357142857,14,5
142,142,2020-08-12,Hero,한화,0,B,39,30,3,3,9,2,0,1,1,0,2,1,6,0,1,3,3,3,19,0.090909091,11,1
143,143,2020-08-12,삼성,두산,0,B,43,42,7,8,16,4,0,2,0,0,0,0,1,0,0,6,1,1,20,0.307692308,13,4
144,144,2020-08-12,NC,롯데,0,T,41,35,4,4,9,1,0,0,0,0,1,0,5,0,0,8,0,0,24,0.25,8,2
145,145,2020-08-12,한화,키움,0,T,38,34,2,2,4,1,0,1,1,0,0,0,2,0,2,8,0,0,9,0.25,4,1
146,146,2020-08-12,KT,SK,0,B,30,27,1,2,2,1,0,0,0,0,0,0,2,0,1,3,2,2,8,0,4,0
147,147,2020-08-12,KIA,LG,0,T,35,29,0,0,2,0,0,0,0,0,0,0,5,0,1,14,0,0,13,0,6,0
148,148,2020-08-13,SK,KT,0,T,47,41,10,10,16,1,0,1,0,0,2,2,4,0,0,5,0,0,26,0.3125,16,5
149,149,2020-08-13,NC,롯데,0,T,43,39,8,9,14,1,0,1,0,0,0,0,3,0,1,7,1,1,19,0.416666667,12,5
150,150,2020-08-13,Hero,한화,0,B,36,31,6,6,11,1,1,1,1,0,2,0,3,0,0,4,1,1,17,0.272727273,11,3
151,151,2020-08-13,LG,KIA,0,B,35,29,4,4,8,1,0,2,0,0,1,0,4,0,1,6,0,0,13,0.166666667,6,1
152,152,2020-08-13,삼성,두산,0,B,38,33,3,3,9,1,0,2,1,0,0,0,4,0,1,5,0,0,18,0.125,8,1
153,153,2020-08-13,한화,키움,0,T,39,32,3,3,9,0,0,0,0,0,1,0,5,0,1,10,2,2,15,0.25,8,2
154,154,2020-08-13,KT,SK,0,B,48,36,5,6,10,2,0,1,1,0,1,1,11,0,0,17,1,1,34,0.076923077,13,1
155,155,2020-08-13,롯데,NC,0,B,33,33,2,2,7,1,0,0,0,0,0,0,0,0,0,6,1,1,12,0.25,4,1
156,156,2020-08-13,KIA,LG,0,T,33,32,1,2,5,1,0,1,1,0,0,0,1,0,0,8,0,0,8,0.2,5,1
157,157,2020-08-13,두산,삼성,0,T,39,28,2,2,4,0,0,1,1,0,2,1,9,0,0,11,1,1,15,0,4,0
158,158,2020-08-14,LG,NC,0,T,49,43,10,10,18,2,1,4,0,0,1,0,5,0,0,6,1,1,19,0.125,8,1
159,159,2020-08-14,삼성,한화,0,T,44,41,10,10,15,4,0,1,2,0,0,0,3,0,0,6,1,1,24,0.388888889,18,7
160,160,2020-08-14,롯데,키움,0,T,38,31,5,5,11,2,0,0,0,0,2,1,5,1,0,6,0,0,22,0.307692308,13,4
161,161,2020-08-14,KT,두산,0,T,49,47,4,5,12,3,0,0,2,0,1,0,1,0,0,7,0,0,17,0.166666667,12,2
162,162,2020-08-14,KIA,SK,0,B,40,31,6,7,7,2,0,1,0,0,0,0,8,0,1,3,0,0,16,0.375,8,3
163,163,2020-08-14,SK,KIA,0,T,43,31,6,6,12,1,0,0,3,0,3,1,8,0,1,6,2,2,19,0.333333333,15,5
164,164,2020-08-14,두산,KT,0,B,53,45,3,3,10,0,0,2,2,0,0,0,8,2,0,9,1,1,25,0,11,0
165,165,2020-08-14,NC,LG,0,B,40,36,4,4,8,3,0,0,1,0,0,0,3,0,1,13,0,0,14,0.444444444,9,4
166,166,2020-08-14,Hero,롯데,0,B,35,32,1,1,5,2,0,0,0,0,0,0,3,0,0,7,1,1,16,0.125,8,1
167,167,2020-08-14,한화,삼성,0,B,33,30,1,1,4,1,0,0,0,0,0,0,2,0,1,8,1,1,10,0.2,5,1
168,168,2020-08-15,KIA,SK,0,B,44,41,10,10,17,2,1,1,0,0,0,0,3,0,0,5,0,0,21,0.461538462,13,6
169,169,2020-08-15,LG,NC,0,T,45,40,11,13,15,4,0,2,0,0,1,1,3,0,1,9,0,0,18,0.4,15,6
170,170,2020-08-15,두산,KT,0,B,41,38,7,7,13,1,0,1,3,0,0,0,3,0,0,3,1,1,22,0.333333333,15,5
171,171,2020-08-15,Hero,롯데,0,T,36,34,3,3,9,4,0,0,0,0,0,0,2,0,0,4,1,1,12,0.4,10,4
172,172,2020-08-15,삼성,한화,0,T,34,29,2,2,3,0,0,1,0,0,1,0,4,0,0,11,0,0,9,0,4,0
173,173,2020-08-15,NC,LG,0,B,38,34,4,4,10,0,0,2,0,0,1,1,2,0,1,13,1,1,16,0.142857143,7,1
174,174,2020-08-15,SK,KIA,0,T,36,33,3,3,9,2,0,0,0,0,0,0,3,0,0,1,2,2,14,0.285714286,7,2
175,175,2020-08-15,한화,삼성,0,B,35,30,0,0,7,0,0,0,1,0,0,0,5,0,0,7,1,1,16,0,5,0
176,176,2020-08-15,KT,두산,0,T,41,34,4,5,7,2,1,1,1,0,0,0,6,0,1,8,0,0,25,0.125,16,2
177,177,2020-08-15,롯데,키움,0,B,36,35,1,1,7,0,0,0,0,0,0,0,1,0,0,6,1,1,21,0,6,0
178,178,2020-08-16,KIA,SK,0,B,41,38,7,8,15,2,0,1,0,0,0,0,3,0,0,10,0,0,17,0.461538462,13,6
179,179,2020-08-16,KT,두산,0,T,41,35,4,4,11,5,0,0,1,0,3,1,3,0,0,5,1,1,16,0.2,10,2
180,180,2020-08-16,Hero,롯데,0,T,41,35,5,6,9,5,0,1,1,0,1,1,2,0,3,4,0,0,15,0.230769231,13,3
181,181,2020-08-16,LG,NC,0,T,41,32,6,6,7,0,0,2,0,0,1,0,8,0,0,3,1,1,18,0.25,8,2
182,182,2020-08-16,한화,삼성,0,B,31,26,3,3,2,1,0,0,0,0,0,0,4,0,1,4,1,1,9,0.25,4,1
183,183,2020-08-16,NC,LG,0,B,37,34,5,5,9,5,0,0,0,0,0,0,2,0,1,6,2,2,12,0.4,10,4
184,184,2020-08-16,SK,KIA,0,T,41,34,5,5,7,2,0,0,0,0,0,0,7,0,0,13,0,0,19,0.272727273,11,3
185,185,2020-08-16,롯데,키움,0,B,36,30,3,3,6,1,0,0,3,0,1,1,4,0,1,5,3,3,12,0.25,8,2
186,186,2020-08-16,삼성,한화,0,T,34,32,2,2,5,1,0,2,1,0,0,0,1,0,1,9,0,0,12,0,7,0
187,187,2020-08-16,두산,KT,0,B,35,28,1,1,3,1,0,0,1,0,0,0,6,0,1,6,2,2,13,0.111111111,9,1
188,188,2020-08-18,두산,롯데,0,T,50,43,7,9,16,2,0,0,1,0,1,1,3,0,2,10,0,0,32,0.25,16,4
189,189,2020-08-18,LG,KIA,0,B,40,37,6,6,12,1,0,2,1,0,1,1,2,0,0,13,2,2,16,0.4,5,2
190,190,2020-08-18,KT,삼성,0,T,42,33,5,6,9,1,0,1,0,0,1,1,8,0,0,7,0,0,16,0.3,10,3
191,191,2020-08-18,NC,키움,0,B,32,27,5,5,7,3,0,1,0,0,2,1,2,0,1,4,1,1,8,0.6,5,3
192,192,2020-08-18,SK,한화,0,B,40,31,8,9,8,2,0,2,0,0,2,1,5,0,2,4,0,0,16,0.222222222,9,2
193,193,2020-08-18,KIA,LG,0,T,46,40,5,5,11,2,0,0,0,0,1,0,5,0,0,8,0,0,20,0.333333333,9,3
194,194,2020-08-18,Hero,NC,0,T,35,34,1,1,7,0,0,0,1,0,0,0,0,0,1,6,0,0,14,0.333333333,3,1
